,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
542,603887.SH,20210104,17.56,17.76,17.2,17.65,17.56,0.09,0.5125,22561.68,39445.102
541,603887.SH,20210105,17.78,18.38,17.62,17.93,17.65,0.28,1.5864,35465.58,63917.436
540,603887.SH,20210106,17.81,17.93,17.31,17.35,17.93,-0.58,-3.2348,23347.67,40908.532
539,603887.SH,20210107,17.25,17.4,16.28,16.31,17.35,-1.04,-5.9942,38548.04,64260.445
538,603887.SH,20210108,16.4,16.66,16.0,16.1,16.31,-0.21,-1.2876,28716.08,46739.463
537,603887.SH,20210111,16.27,16.38,15.43,15.69,16.1,-0.41,-2.5466,34660.8,54890.741
536,603887.SH,20210112,15.74,16.0,15.53,15.75,15.69,0.06,0.3824,24916.56,39407.396
535,603887.SH,20210113,15.74,15.74,15.12,15.23,15.75,-0.52,-3.3016,36294.36,55554.51
534,603887.SH,20210114,15.1,15.89,14.93,15.7,15.23,0.47,3.086,40836.28,63130.896
533,603887.SH,20210115,16.57,17.27,15.79,16.18,15.7,0.48,3.0573,106684.5,178892.534
532,603887.SH,20210118,16.04,16.39,15.81,16.18,16.18,0.0,0.0,56361.18,90883.348
531,603887.SH,20210119,16.18,16.8,16.03,16.29,16.18,0.11,0.6799,41142.38,67570.656
530,603887.SH,20210120,16.29,16.42,16.13,16.2,16.29,-0.09,-0.5525,22113.78,35880.898
529,603887.SH,20210121,16.22,16.41,16.03,16.18,16.2,-0.02,-0.1235,31883.39,51650.083
528,603887.SH,20210122,16.22,16.22,15.66,15.74,16.18,-0.44,-2.7194,32573.19,51528.939
527,603887.SH,20210125,15.74,16.1,15.31,15.99,15.74,0.25,1.5883,31176.47,49156.582
526,603887.SH,20210126,15.85,15.98,15.54,15.59,15.99,-0.4,-2.5016,20239.93,31838.252
525,603887.SH,20210127,15.53,15.97,15.51,15.76,15.59,0.17,1.0904,16717.68,26313.33
524,603887.SH,20210128,15.7,16.49,15.55,16.08,15.76,0.32,2.0305,35007.01,56531.031
523,603887.SH,20210129,16.2,16.2,15.18,15.32,16.08,-0.76,-4.7264,31926.52,49682.233
522,603887.SH,20210201,15.27,15.47,15.01,15.25,15.32,-0.07,-0.4569,25269.63,38395.47
521,603887.SH,20210202,15.06,15.62,15.06,15.43,15.25,0.18,1.1803,18000.72,27631.782
520,603887.SH,20210203,15.34,15.38,14.66,14.72,15.43,-0.71,-4.6014,27734.11,41483.915
519,603887.SH,20210204,14.66,14.9,13.6,14.0,14.72,-0.72,-4.8913,41960.25,58707.954
518,603887.SH,20210205,14.08,14.52,13.73,13.83,14.0,-0.17,-1.2143,25690.57,36158.515
517,603887.SH,20210208,13.9,13.95,13.57,13.65,13.83,-0.18,-1.3015,19726.05,27144.102
516,603887.SH,20210209,13.67,14.64,13.65,14.15,13.65,0.5,3.663,33923.35,47840.967
515,603887.SH,20210210,14.15,14.33,14.05,14.2,14.15,0.05,0.3534,18008.32,25518.114
514,603887.SH,20210218,14.3,14.89,14.28,14.77,14.2,0.57,4.0141,38060.71,55930.382
513,603887.SH,20210219,14.75,15.79,14.69,15.65,14.77,0.88,5.958,51853.37,79975.057
512,603887.SH,20210222,15.69,16.27,15.67,15.88,15.65,0.23,1.4696,44199.36,70765.826
511,603887.SH,20210223,15.79,16.14,15.56,15.93,15.88,0.05,0.3149,32905.48,52288.139
510,603887.SH,20210224,16.15,16.52,15.85,15.95,15.93,0.02,0.1255,39215.49,63310.416
509,603887.SH,20210225,16.05,16.05,15.56,15.6,15.95,-0.35,-2.1944,30400.2,47931.345
508,603887.SH,20210226,15.56,15.98,15.4,15.8,15.6,0.2,1.2821,30341.4,47656.121
507,603887.SH,20210301,15.85,16.18,15.8,16.14,15.8,0.34,2.1519,26047.89,41587.013
506,603887.SH,20210302,16.28,16.3,15.82,16.05,16.14,-0.09,-0.5576,27327.8,43656.177
505,603887.SH,20210303,16.05,16.36,15.8,16.26,16.05,0.21,1.3084,23503.81,37864.544
504,603887.SH,20210304,16.21,16.26,15.9,15.99,16.26,-0.27,-1.6605,20370.98,32753.66
503,603887.SH,20210305,15.92,16.11,15.85,15.97,15.99,-0.02,-0.1251,20119.4,32170.073
502,603887.SH,20210308,16.04,16.3,15.85,15.9,15.97,-0.07,-0.4383,21807.79,35029.35
501,603887.SH,20210309,15.88,16.06,15.38,15.42,15.9,-0.48,-3.0189,26849.52,41943.602
500,603887.SH,20210310,15.54,15.62,14.78,14.8,15.42,-0.62,-4.0208,23108.11,34826.334
499,603887.SH,20210311,14.85,15.33,14.56,15.24,14.8,0.44,2.973,25639.81,38557.155
498,603887.SH,20210312,15.19,15.27,14.81,14.88,15.24,-0.36,-2.3622,20679.3,30821.508
497,603887.SH,20210315,14.82,15.01,14.59,14.73,14.88,-0.15,-1.0081,21935.19,32405.131
496,603887.SH,20210316,14.79,14.96,14.66,14.9,14.73,0.17,1.1541,18438.46,27386.683
495,603887.SH,20210317,14.97,14.97,14.76,14.86,14.9,-0.04,-0.2685,17994.06,26737.171
494,603887.SH,20210318,14.89,14.95,14.49,14.52,14.86,-0.34,-2.288,28633.64,41807.974
493,603887.SH,20210319,14.4,14.96,14.33,14.63,14.52,0.11,0.7576,31900.1,47097.156
492,603887.SH,20210322,14.76,14.83,14.53,14.82,14.63,0.19,1.2987,28834.93,42269.349
491,603887.SH,20210323,14.82,15.08,14.5,14.61,14.82,-0.21,-1.417,31409.16,46568.812
490,603887.SH,20210324,14.59,14.9,14.54,14.7,14.61,0.09,0.616,29594.88,43590.064
489,603887.SH,20210325,14.61,15.05,14.5,14.68,14.7,-0.02,-0.1361,33036.54,49029.49
488,603887.SH,20210326,14.68,14.82,14.42,14.65,14.68,-0.03,-0.2044,33722.08,49284.018
487,603887.SH,20210329,14.58,14.68,14.3,14.34,14.65,-0.31,-2.116,34745.63,50221.859
486,603887.SH,20210330,14.39,14.42,14.2,14.28,14.34,-0.06,-0.4184,19649.44,28014.654
485,603887.SH,20210331,14.38,14.72,14.37,14.68,14.28,0.4,2.8011,44226.87,64514.133
484,603887.SH,20210401,14.66,15.8,14.65,15.31,14.68,0.63,4.2916,63902.92,97541.588
483,603887.SH,20210402,15.25,16.0,15.03,15.88,15.31,0.57,3.7231,71490.66,111682.256
482,603887.SH,20210406,15.76,15.93,15.62,15.72,15.88,-0.16,-1.0076,36593.06,57542.574
481,603887.SH,20210407,15.85,16.09,15.61,15.97,15.72,0.25,1.5903,38622.05,61303.635
480,603887.SH,20210408,15.98,15.98,15.53,15.6,15.97,-0.37,-2.3168,43264.82,67914.562
479,603887.SH,20210409,15.56,15.7,15.32,15.47,15.6,-0.13,-0.8333,27618.23,42727.102
478,603887.SH,20210412,15.49,15.56,15.06,15.08,15.47,-0.39,-2.521,23331.74,35583.865
477,603887.SH,20210413,15.06,15.24,14.88,14.92,15.08,-0.16,-1.061,26676.96,40103.852
476,603887.SH,20210414,14.8,15.05,14.78,15.01,14.92,0.09,0.6032,24843.71,37078.717
475,603887.SH,20210415,15.1,15.1,14.59,14.66,15.01,-0.35,-2.3318,29352.56,43296.382
474,603887.SH,20210416,14.92,15.15,14.71,15.13,14.66,0.47,3.206,37165.32,55799.386
473,603887.SH,20210419,15.12,15.27,15.06,15.18,15.13,0.05,0.3305,32571.41,49412.295
472,603887.SH,20210420,15.19,15.35,14.63,14.63,15.18,-0.55,-3.6232,62357.05,93355.078
471,603887.SH,20210421,14.52,14.58,14.15,14.18,14.63,-0.45,-3.0759,49548.61,70804.245
470,603887.SH,20210422,14.2,14.32,14.17,14.22,14.18,0.04,0.2821,21620.73,30796.375
469,603887.SH,20210423,14.26,14.35,13.88,13.98,14.22,-0.24,-1.6878,33454.43,46718.975
468,603887.SH,20210426,14.0,14.15,13.86,14.08,13.98,0.1,0.7153,25292.1,35375.151
467,603887.SH,20210427,14.08,14.1,13.6,13.76,14.08,-0.32,-2.2727,25649.24,35342.242
466,603887.SH,20210428,13.8,13.81,13.03,13.05,13.76,-0.71,-5.1599,61505.27,82085.191
465,603887.SH,20210429,13.05,13.24,12.8,13.0,13.05,-0.05,-0.3831,28515.3,37247.188
464,603887.SH,20210430,12.91,12.98,12.49,12.64,13.0,-0.36,-2.7692,40402.6,51118.082
463,603887.SH,20210506,12.6,12.93,12.6,12.71,12.64,0.07,0.5538,30211.74,38554.67
462,603887.SH,20210507,12.69,12.76,12.29,12.39,12.71,-0.32,-2.5177,32988.36,41105.172
461,603887.SH,20210510,12.35,12.38,12.13,12.24,12.39,-0.15,-1.2107,21868.2,26731.833
460,603887.SH,20210511,12.23,12.38,12.16,12.22,12.24,-0.02,-0.1634,26109.88,31971.262
459,603887.SH,20210512,12.24,12.31,11.94,12.28,12.22,0.06,0.491,32390.8,39248.56
458,603887.SH,20210513,12.13,12.46,12.11,12.35,12.28,0.07,0.57,39368.0,48628.177
457,603887.SH,20210514,12.36,12.9,12.28,12.76,12.35,0.41,3.3198,78454.62,99136.488
456,603887.SH,20210517,12.15,12.4,11.48,11.6,12.76,-1.16,-9.0909,144434.36,171069.944
455,603887.SH,20210518,11.5,12.02,11.47,11.82,11.6,0.22,1.8966,103070.15,121865.133
454,603887.SH,20210519,11.83,11.83,11.15,11.35,11.82,-0.47,-3.9763,83031.99,94501.212
453,603887.SH,20210520,11.27,11.52,11.23,11.33,11.35,-0.02,-0.1762,55952.93,63404.388
452,603887.SH,20210521,11.33,11.53,11.25,11.3,11.33,-0.03,-0.2648,54650.15,62170.219
451,603887.SH,20210524,11.33,11.49,11.26,11.45,11.3,0.15,1.3274,66370.72,75652.653
450,603887.SH,20210525,11.41,11.53,11.29,11.5,11.45,0.05,0.4367,48939.26,55793.441
449,603887.SH,20210526,11.48,11.91,11.47,11.81,11.5,0.31,2.6957,67211.48,78947.146
448,603887.SH,20210527,11.81,12.18,11.77,12.04,11.81,0.23,1.9475,63041.02,75747.375
447,603887.SH,20210528,12.03,12.2,11.79,11.81,12.04,-0.23,-1.9103,53444.5,63773.877
446,603887.SH,20210531,11.71,12.08,11.71,12.06,11.81,0.25,2.1169,44439.79,53236.011
445,603887.SH,20210601,12.05,12.24,11.94,12.18,12.06,0.12,0.995,46235.04,56048.257
444,603887.SH,20210602,12.2,12.3,12.01,12.08,12.18,-0.1,-0.821,41883.71,50815.686
443,603887.SH,20210603,12.05,12.22,11.99,12.04,12.08,-0.04,-0.3311,51346.41,62151.603
442,603887.SH,20210604,12.05,12.13,11.94,11.99,12.04,-0.05,-0.4153,30406.27,36563.223
441,603887.SH,20210607,12.02,12.12,11.71,11.75,11.99,-0.24,-2.0017,75477.27,89368.413
440,603887.SH,20210608,12.54,12.93,12.54,12.93,11.75,1.18,10.0426,55729.5,71641.677
439,603887.SH,20210609,13.3,13.77,12.77,13.04,12.93,0.11,0.8507,332175.43,437851.435
438,603887.SH,20210610,12.83,14.1,12.6,13.59,13.04,0.55,4.2178,252494.34,340034.226
437,603887.SH,20210611,13.36,13.75,13.07,13.16,13.59,-0.43,-3.1641,153687.16,205010.478
436,603887.SH,20210615,13.09,13.17,12.69,12.71,13.16,-0.45,-3.4195,95562.88,123074.643
435,603887.SH,20210616,12.65,12.95,12.64,12.69,12.71,-0.02,-0.1574,70575.39,90004.511
434,603887.SH,20210617,12.64,12.79,12.31,12.41,12.69,-0.28,-2.2065,89620.68,111489.331
433,603887.SH,20210618,12.37,12.75,12.34,12.7,12.41,0.29,2.3368,67563.84,85062.18
432,603887.SH,20210621,12.66,12.91,12.59,12.73,12.7,0.03,0.2362,66259.84,84348.411
431,603887.SH,20210622,12.79,12.99,12.73,12.79,12.73,0.06,0.4713,56255.63,72067.72
430,603887.SH,20210623,12.72,12.78,12.5,12.64,12.79,-0.15,-1.1728,60830.61,76632.678
429,603887.SH,20210624,10.55,10.57,10.2,10.35,10.45,-0.1,-0.9569,60989.21,63224.436
428,603887.SH,20210625,10.28,10.4,10.14,10.31,10.35,-0.04,-0.3865,52641.85,53996.722
427,603887.SH,20210628,10.25,10.3,10.1,10.13,10.31,-0.18,-1.7459,63782.41,64903.233
426,603887.SH,20210629,10.12,10.3,9.99,10.06,10.13,-0.07,-0.691,59258.99,60110.13
425,603887.SH,20210630,10.07,10.15,9.86,9.99,10.06,-0.07,-0.6958,61507.67,61383.568
424,603887.SH,20210701,10.01,10.04,9.87,9.88,9.99,-0.11,-1.1011,46438.79,46150.711
423,603887.SH,20210702,9.9,9.94,9.7,9.74,9.88,-0.14,-1.417,46334.12,45288.101
422,603887.SH,20210705,9.72,9.86,9.7,9.86,9.74,0.12,1.232,36797.92,35992.226
421,603887.SH,20210706,9.83,10.59,9.8,10.19,9.86,0.33,3.3469,104530.82,107088.214
420,603887.SH,20210707,10.08,10.19,10.01,10.12,10.19,-0.07,-0.6869,42980.44,43376.292
419,603887.SH,20210708,10.12,10.12,9.87,9.9,10.12,-0.22,-2.1739,48754.08,48603.269
418,603887.SH,20210709,9.87,9.94,9.78,9.9,9.9,0.0,0.0,36395.59,35862.087
417,603887.SH,20210712,9.91,10.15,9.9,10.12,9.9,0.22,2.2222,48254.35,48482.372
416,603887.SH,20210713,10.14,10.32,10.06,10.3,10.12,0.18,1.7787,61219.73,62646.165
415,603887.SH,20210714,10.33,10.41,10.12,10.13,10.3,-0.17,-1.6505,53415.13,54681.043
414,603887.SH,20210715,10.2,10.2,9.81,9.99,10.13,-0.14,-1.382,58198.77,57883.825
413,603887.SH,20210716,10.03,10.17,9.96,9.98,9.99,-0.01,-0.1001,36445.33,36590.551
412,603887.SH,20210719,9.95,9.96,9.7,9.73,9.98,-0.25,-2.505,59109.24,57722.087
411,603887.SH,20210720,9.7,9.7,9.45,9.5,9.73,-0.23,-2.3638,49734.78,47384.757
410,603887.SH,20210721,9.55,9.63,9.5,9.58,9.5,0.08,0.8421,34403.43,32903.385
409,603887.SH,20210722,9.56,9.64,9.51,9.61,9.58,0.03,0.3132,30505.33,29223.067
408,603887.SH,20210723,9.61,9.61,9.25,9.3,9.61,-0.31,-3.2258,60902.54,57038.591
407,603887.SH,20210726,9.2,9.2,8.76,8.9,9.3,-0.4,-4.3011,70633.31,63087.046
406,603887.SH,20210727,8.88,9.03,8.8,8.82,8.9,-0.08,-0.8989,45632.81,40640.923
405,603887.SH,20210728,8.82,8.86,8.26,8.41,8.82,-0.41,-4.6485,50172.35,42687.34
404,603887.SH,20210729,8.46,8.54,8.36,8.41,8.41,0.0,0.0,35652.15,30155.888
403,603887.SH,20210730,8.35,8.68,8.25,8.68,8.41,0.27,3.2105,56825.69,48282.378
402,603887.SH,20210802,8.67,8.89,8.54,8.86,8.68,0.18,2.0737,41103.65,36002.697
401,603887.SH,20210803,8.85,9.08,8.82,8.9,8.86,0.04,0.4515,44775.26,40029.794
400,603887.SH,20210804,8.92,9.03,8.85,8.96,8.9,0.06,0.6742,31379.98,28105.166
